,artist,track,genres
4156,Inner City,Good Life,"['classic house', 'deep house', 'detroit house', 'diva house', 'hardcore techno', 'hip house', 'techno', 'vocal house']"
4157,John Cafferty & The Beaver Brown Band,C-I-T-Y,"['album rock', 'heartland rock', 'mellow gold']"
4158,Limahl,Only For Love,"['new romantic', 'new wave pop', 'synthpop']"
4159,Foreigner,Heart Turns To Stone,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4160,Bananarama,More Than Physical,"['dance pop', 'disco', 'europop', 'girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
4161,Zebra,Who's Behind The Door?,"['album rock', 'glam metal', 'hard rock']"
4162,John Denver,Autograph,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
4163,Corey Hart,Sunglasses At Night,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4164,UB40,I Got You Babe,"['reggae fusion', 'uk reggae', 'solo wave']"
4165,Billy Joel,The Night Is Still Young,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
4166,The Cult,Edie (Ciao Baby),"['album rock', 'alternative rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
4167,Dolly Parton (Duet With Kenny Rogers),Real Love,"['classic country pop', 'country', 'country dawn', 'adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']"
4168,The Pointer Sisters,Jump (for My Love),"['disco', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'quiet storm', 'soft rock']"
4169,Quincy Jones Featuring James Ingram,One Hundred Ways,"['adult standards', 'quiet storm', 'soft rock', 'urban contemporary']"
4170,The Outfield,Voices Of Babylon,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']"
4171,Elisa Fiorillo,Forgive Me For Dreaming,[]
4172,Pat Benatar,Hit Me With Your Best Shot,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']"
4173,Thompson Twins,Doctor! Doctor!,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4174,Together? (Soundtrack) Featuring Jackie DeShannon,I Don't Need You Anymore,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
4175,Donna Summer,This Time I Know It's For Real,"['dance pop', 'disco', 'hi-nrg', 'motown', 'new wave pop']"
4176,The Pointer Sisters,Slow Hand,"['disco', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'quiet storm', 'soft rock']"
4177,Van Halen,I'll Wait,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
4178,Genesis,Paperlate,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
4179,Nocera,"Summertime, Summertime",['freestyle']
4180,Donnie Iris,Love Is Like A Rock,['album rock']
4181,Toto,Stranger In Town,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
4182,David Gates,Where Does The Lovin' Go,"['adult standards', 'classic uk pop', 'mellow gold', 'soft rock']"
4183,Arcadia,Election Day,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
4184,Smokey Robinson,One Heartbeat,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
4185,Re-flex,The Politics Of Dancing,[]
4186,Jefferson Starship,No Way Out,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
4187,Billy Joel,This Is The Time,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
4188,Rufus And Chaka Khan,Do You Love What You Feel,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary', 'dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
4189,Steve Perry,Foolish Heart,"['album rock', 'mellow gold', 'soft rock', 'yacht rock']"
4190,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,All Cried Out,"['freestyle', 'funk', 'new jack swing', 'quiet storm', 'urban contemporary', 'electro', 'new jack swing', 'urban contemporary']"
4191,Aretha Franklin And George Benson,Love All The Hurt Away,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul', 'adult standards', 'disco', 'jazz funk', 'jazz guitar', 'motown', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'yacht rock']"
4192,Thompson Twins,Love On Your Side,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4193,Evelyn Thomas,High Energy,"['disco', 'diva house', 'hi-nrg']"
4194,Wham!,Where Did Your Heart Go?,"['disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4195,Kylie Minogue,The Loco-Motion,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']"
4196,Sweet Sensation,Hooked On You,['freestyle']
4197,Toto,Make Believe,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
4198,Roger Hodgson,Had A Dream (Sleeping With The Enemy),"['album rock', 'art rock', 'progressive rock', 'soft rock', 'symphonic rock']"
4199,Ratt,Way Cool Jr.,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
4200,A Flock Of Seagulls,I Ran (So Far Away),"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
4201,Boston,Can'tcha Say (You Believe In Me)/Still In Love,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4202,Go West,Don't Look Down - The Sequel,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4203,Dexys Midnight Runners,The Celtic Soul Brothers,"['bow pop', 'new romantic', 'new wave', 'new wave pop']"
4204,Eddie Rabbitt,Gone Too Far,"['classic country pop', 'country', 'country rock', 'mellow gold', 'soft rock']"
4205,Rod Stewart,Passion,"['adult standards', 'classic rock', 'mellow gold', 'soft rock']"
4206,Curiosity Killed The Cat,Misfit,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
4207,The Gap Band,Outstanding,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
4208,The J. Geils Band,Freeze-frame,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
4209,John Denver,Shanghai Breezes,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
4210,Foghat,Third Time Lucky (First Time I Was A Fool),"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
4211,Aldo Nova,Fantasy,"['album rock', 'canadian metal', 'classic canadian rock', 'glam metal', 'hard rock']"
4212,Van Halen,Dreams,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
4213,Models,Out Of Mind Out Of Sight,"['australian alternative rock', 'australian rock']"
4214,Frankie Smith,Double Dutch Bus,['funk']
4215,Lone Justice,Ways To Be Wicked,"['country rock', 'cowpunk', 'heartland rock', 'roots rock']"
4216,Louise Tucker,Midnight Blue,[]
4217,Howard Jones,Like To Get To Know You Well,"['art rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4218,Gino Vannelli,Hurts To Be In Love,"['adult standards', 'classic canadian rock', 'mellow gold', 'soft rock', 'yacht rock']"
4219,Whitney Houston,Where Do Broken Hearts Go,"['dance pop', 'pop', 'urban contemporary']"
4220,Herb Alpert,Garden Party,"['easy listening', 'jazz trumpet']"
4221,KISS,Let's Put The X In Sex,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']"
4222,Duran Duran,Hungry Like The Wolf,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']"
4223,Little River Band,You're Driving Me Out Of My Mind,"['album rock', 'art rock', 'australian rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
4224,Newcity Rockers,Black Dog,[]
4225,Steve Winwood,While You See A Chance,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
4226,Robin Gibb,Boys Do Fall In Love,['soft rock']
4227,Eddie Rabbitt,I Love A Rainy Night,"['classic country pop', 'country', 'country rock', 'mellow gold', 'soft rock']"
4228,Billy Idol,Rebel Yell,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
4229,Change,Paradise,"['disco', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm']"
4230,Genesis,Illegal Alien,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
4231,The Gregg Allman Band,I'm No Angel,"['blues rock', 'country rock', 'southern rock']"
4232,Rush,The Spirit Of Radio,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']"
4233,Kenny Loggins,Heart To Heart,"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
4234,Tommy Shaw,Lonely School,['album rock']
4235,Fiona,Talk To Me,[]
4236,Breathless,Takin' It Back,[]
4237,Genesis,That's All,[]
4238,LL Cool J,I'm That Type Of Guy,"['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop', 'urban contemporary']"
4239,Al B. Sure!,Killing Me Softly,"['funk', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']"
4240,Ann Wilson & Robin Zander,"Surrender To Me (From ""Tequila Sunrise"")",[]
4241,ABBA,On And On And On,"['europop', 'swedish pop']"
4242,Terence Trent D'Arby,Dance Little Sister,[]
4243,Jon Butcher Axis,Sounds Of Your Voice,[]
4244,Dolly Parton,Starting Over Again,"['classic country pop', 'country', 'country dawn']"
4245,Clarence Clemons & Jackson Browne,You're A Friend Of Mine,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
4246,Suzi Quatro,She's In Love With You,"['classic uk pop', 'glam rock', 'soft rock']"
4247,The Whispers,Lady,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'rock steady', 'soul', 'urban contemporary']"
4248,Jennifer Warnes,When The Feeling Comes Around,"['folk', 'lilith']"
4249,Steve Perry,"Oh, Sherrie","['album rock', 'mellow gold', 'soft rock', 'yacht rock']"
4250,James Taylor,Never Die Young,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
4251,The Time,Jungle Love,"['electro', 'funk', 'funk rock', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'synth funk', 'urban contemporary']"
4252,Harry Chapin,Sequel,"['country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
4253,Pat Travers Band,Is This Love,"['blues rock', 'southern rock']"
4254,Frankie Goes To Hollywood,Two Tribes,"['art rock', 'dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
4255,Led Zeppelin,Fool In The Rain,"['album rock', 'classic rock', 'hard rock', 'rock']"
4256,The Georgia Satellites,Battleship Chains,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'pub rock', 'rock', 'southern rock']"
4257,Missing Persons,Windows,"['album rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
4258,Amy Grant,Wise Up,"['christian alternative rock', 'christian music']"
4259,"Grover Washington, Jr. (With Bill Withers)",Just The Two Of Us,"['jazz funk', 'smooth jazz', 'funk', 'motown', 'quiet storm', 'soul']"
4260,Kenny Loggins,I'm Alright,"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
4261,The Clash,Should I Stay Or Should I Go,"['classic rock', 'permanent wave', 'punk', 'rock']"
4262,A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
4263,Tears For Fears,Head Over Heels,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']"
4264,Huey Lewis & The News,If This Is It,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']"
4265,The Jacksons,Nothin (That Compares 2 U),"['disco', 'funk', 'motown', 'quiet storm', 'soul']"
4266,Tom Petty And The Heartbreakers,Here Comes My Girl,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
4267,REO Speedwagon,Live Every Moment,"['album rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
4268,Sting,Fortress Around Your Heart,"['permanent wave', 'soft rock', 'sophisti-pop']"
4269,Jesse Johnson (Featuring Sly Stone),Crazay,"['funk', 'minneapolis sound', 'post-disco', 'quiet storm', 'funk', 'psychedelic soul']"
4270,Duran Duran,Do You Believe In Shame?,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']"
4271,Lee Ritenour,Cross My Heart,"['jazz funk', 'jazz fusion', 'jazz guitar', 'smooth jazz', 'yacht rock']"
4272,John Mellencamp,R.O.C.K. In The U.S.A. (A Salute to 60's Rock),"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']"
4273,Fleetwood Mac,Sisters Of The Moon,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
4274,Roberta Flack With Donny Hathaway,You Are My Heaven,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz', 'chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul']"
4275,Saraya,Back To The Bullet,"['glam metal', 'hard rock']"
4276,Rod Stewart,Tonight I'm Yours (Don't Hurt Me),"['adult standards', 'classic rock', 'mellow gold', 'soft rock']"
4277,Twennynine Featuring Lenny White,Peanut Butter,"['jazz funk', 'jazz fusion']"
4278,Bryan Adams,This Time,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
4279,Shana,I Want You,['freestyle']
4280,Robbie Dupree,Hot Rod Hearts,"['soft rock', 'yacht rock']"
4281,Blondie,Island Of Lost Souls,"['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']"
4282,Lou Rawls,You're My Blessing,"['adult standards', 'classic soul', 'disco', 'lounge', 'motown', 'philly soul', 'quiet storm', 'soul', 'soul blues', 'vocal jazz']"
4283,Neil Diamond,On The Way To The Sky,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
4284,Cyndi Lauper,All Through The Night,"['mellow gold', 'new wave pop', 'permanent wave', 'soft rock']"
4285,Tina Turner,Better Be Good To Me,"['disco', 'mellow gold', 'new wave pop', 'soft rock']"
4286,BulletBoys,For The Love Of Money,"['glam metal', 'hard rock', 'sleaze rock']"
4287,Mondo Rock,Primitive Love Rites,['australian rock']
4288,The Firm,Radioactive,"['album rock', 'supergroup']"
4289,Bananarama,A Trick Of The Night,"['dance pop', 'disco', 'europop', 'girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
4290,Chicago,Look Away,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
4291,James Brown,Living In America,"['funk', 'motown', 'soul']"
4292,David Pack,Prove Me Wrong,"['deep soft rock', 'yacht rock']"
4293,The Buggles,Video Killed The Radio Star,"['early synthpop', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
4294,The Communards,Don't Leave Me This Way,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop', 'british soul', 'italian lounge']"
4295,"Earth, Wind & Fire",And Love Goes On,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
4296,INXS,Don't Change,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
4297,Cher,Skin Deep,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
4298,Paul McCartney And Wings,Coming Up (Live At Glasgow),"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
4299,Timex Social Club,Rumors,[]
4300,Tom Petty & The Heartbreakers With Stevie Nicks,Needles And Pins,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'heartland rock', 'mellow gold', 'rock']"
4301,Anita Baker,Just Because,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']"
4302,Herb Alpert,Keep Your Eye On Me,"['easy listening', 'jazz trumpet']"
4303,Animotion,Room To Move,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
4304,Billy Idol,White Wedding,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
4305,Laura Branigan,How Am I Supposed To Live Without You,"['new wave pop', 'soft rock', 'synthpop']"
4306,Howard Jones,You Know I Love You ... Don't You?,"['art rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4307,B.J. Thomas,Whatever Happened To Old Fashioned Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
4308,Dan Fogelberg,Missing You,"['adult standards', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
4309,The Manhattans,Crazy,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']"
4310,The Time,The Bird,"['electro', 'funk', 'funk rock', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'synth funk', 'urban contemporary']"
4311,Quincy Jones Featuring James Ingram,Just Once,"['adult standards', 'quiet storm', 'soft rock', 'urban contemporary']"
4312,Tina Turner,What's Love Got To Do With It,"['disco', 'mellow gold', 'new wave pop', 'soft rock']"
4313,Foreigner,Head Games,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4314,Gloria Estefan & Miami Sound Machine,Betcha Say That,"['dance pop', 'latin', 'latin pop', 'new wave pop', 'pop', 'soft rock', 'new wave pop']"
4315,Squeeze,Hourglass,"['art rock', 'beatlesque', 'classic uk pop', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock', 'sophisti-pop', 'synthpop']"
4316,Stephen Bishop,It Might Be You,"['adult standards', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
4317,Debbie Gibson,Out Of The Blue,"['new wave pop', 'soft rock']"
4318,Michael Morales,I Don't Know,[]
4319,Supertramp,Cannonball,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']"
4320,Crowded House,World Where You Live,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock', 'soft rock']"
4321,Billy Ocean,Suddenly,"['disco', 'mellow gold', 'motown', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']"
4322,The Silencers,Painted Moon,['celtic rock']
4323,The Cars,Why Can't I Have You,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']"
4324,Styx,High Time,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']"
4325,Paul McCartney,Stranglehold,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
4326,Cameo,Word Up,"['disco', 'funk', 'motown', 'new jack swing', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
4327,Mai Tai,Female Intuition,['boogie']
4328,Michael Stanley Band,Take The Time,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'soft rock']"
4329,Tora Tora,Walkin' Shoes,"['glam metal', 'hard rock', 'sleaze rock']"
4330,Melissa Manchester,Fire In The Morning,"['adult standards', 'bubblegum pop', 'mellow gold', 'soft rock', 'yacht rock']"
4331,Talking Heads,This Must Be The Place (Naive Melody),"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
4332,Joan Jett & the Blackhearts,Do You Wanna Touch Me (Oh Yeah),"['glam punk', 'rock']"
4333,Dire Straits,Skateaway,"['album rock', 'classic rock', 'mellow gold', 'rock']"
4334,War,Outlaw,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']"
4335,Bon Jovi,Living In Sin,"['glam metal', 'hard rock', 'rock']"
4336,Smokey Robinson,Being With You,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
4337,Don Williams,I Believe In You,"['country', 'country rock']"
4338,Teddy Pendergrass,Can't We Try,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'philly soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'southern soul', 'urban contemporary']"
4339,John Waite,Every Step Of The Way,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']"
4340,INXS,What You Need,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
4341,Queen,Need Your Loving Tonight,"['classic rock', 'glam rock', 'rock']"
4342,Franke & The Knockouts,Without You (Not Another Lonely Night),['yacht rock']
4343,Device,Hanging On A Heart Attack,[]
4344,U2,In God's Country,"['irish rock', 'permanent wave', 'rock']"
4345,Starship,Before I Go,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
4346,Elton John,I Guess That's Why They Call It The Blues,"['glam rock', 'mellow gold', 'piano rock']"
4347,Europe,Superstitious,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
4348,Guns N' Roses,Welcome To The Jungle,"['glam metal', 'hard rock', 'rock']"
4349,Sheena Easton,For Your Eyes Only,"['adult standards', 'mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
4350,Survivor,Summer Nights,"['album rock', 'hard rock', 'rock', 'soft rock']"
4351,Robbie Dupree,Brooklyn Girls,"['soft rock', 'yacht rock']"
4352,Poco,Midnight Rain,"['album rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']"
4353,Blackfoot,"Train, Train","['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'native american', 'rock', 'southern rock']"
4354,Kim Wilde,You Came,"['europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
4355,Kim Carnes,Invitation To Dance,"['mellow gold', 'new wave pop', 'soft rock']"
4356,Eddie Money (with Valerie Carter),Let's Be Lovers Again,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
4357,Scandal Featuring Patty Smyth,Beat Of A Heart,['album rock']
4358,Robert John,Sherry,"['bubblegum pop', 'soft rock']"
4359,Leif Garrett,Runaway Rita,"['bubblegum pop', 'classic uk pop']"
4360,Seduction,Two To Make It Right,['freestyle']
4361,Cheech & Chong,Born In East L.A.,"['comedy', 'comic']"
4362,Patrice Rushen,Haven't You Heard,"['disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
4363,Ali Thomson,Live Every Minute,['deep soft rock']
4364,Journey,I'll Be Alright Without You,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4365,Anne Murray,Daydream Believer,"['adult standards', 'bubblegum pop', 'canadian country', 'canadian pop', 'folk', 'mellow gold', 'soft rock']"
4366,The Gap Band,Yearning For Your Love,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
4367,John Stewart,Lost Her In The Sun,[]
4368,The Human League,(Keep Feeling) Fascination,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']"
4369,Midnight Star,Operator,"['disco', 'electro', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
4370,Talking Heads,Burning Down The House,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
4371,Michael Morales,What I Like About You,[]
4372,Lionel Richie,Se La,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']"
4373,Richard Marx,Should've Known Better,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']"
4374,Naked Eyes,When The Lights Go Out,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
4375,Billy Preston & Syreeta,With You I'm Born Again,"['classic soul', 'funk', 'motown', 'psychedelic soul', 'rock keyboard', 'soul', 'southern soul']"
4376,Pet Shop Boys,Always On My Mind,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
4377,Tina Turner,One Of The Living,"['disco', 'mellow gold', 'new wave pop', 'soft rock']"
4378,Kim Carnes,Bette Davis Eyes,"['mellow gold', 'new wave pop', 'soft rock']"
4379,Dionne Warwick,After You,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
4380,Lionel Richie,Stuck On You,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']"
4381,The Escape Club,Shake For The Sheik,[]
4382,Meco,Empire Strikes Back (Medley),[]
4383,Kool & The Gang,Misled,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
4384,Four Tops,Indestructible,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']"
4385,Joan Jett & the Blackhearts,Little Liar,"['glam punk', 'rock']"
4386,Tesla,Little Suzi,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'rock', 'sacramento indie']"
4387,The Moody Blues,Sitting At The Wheel,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock', 'flute rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
4388,Martha Davis,Don't Tell Me The Time,[]
